date,atm_id,atm_city,withdrawals_usd,total_txn_count,income_txn_count,outcome_txn_count,btc_close,btc_pct_change_1d,btc_7d_roc,btc_7d_ma,btc_volatility_7d,is_weekend,payday_flag
2020-01-07,atm350000,Izmir,40060,1340,698,642,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm350001,Izmir,40070,1110,452,658,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm3500010,Izmir,69425,2039,952,1087,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000100,Izmir,42715,1176,512,664,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000101,Izmir,43195,1185,508,677,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000102,Izmir,42980,1213,553,660,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000103,Izmir,41055,1177,547,630,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000104,Izmir,43300,1234,573,661,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000105,Izmir,38155,1146,529,617,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000106,Izmir,38180,1230,626,604,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000107,Izmir,40090,1150,535,615,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000108,Izmir,40240,1208,593,615,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000109,Izmir,38070,1187,541,646,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm3500011,Izmir,38410,1206,634,572,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
2020-01-07,atm35000110,Izmir,41870,1221,560,661,8050.0,0.0697020514360584,0.1274857208485416,7402.325714285714,0.0362012045859287,False,False
